index,target,CreditScore,FirstTimeHomebuyerFlag,MI_Pct,NumberOfUnits,OccupancyStatus,OriginalDTI,OriginalUPB,OriginalLTV,OriginalInterestRate,Channel,PropertyType,LoanPurpose,OriginalLoanTerm,NumberOfBorrowers,SuperConformingFlag,ProgramIndicator,PropertyValMethod,BalloonIndicator,CreditScore_MissFLag,OriginalDTI_MissFLag,0_1_UPB_Diff,1_2_UPB_Diff,2_3_UPB_Diff,3_4_UPB_Diff,4_5_UPB_Diff,5_6_UPB_Diff,6_7_UPB_Diff,7_8_UPB_Diff,8_9_UPB_Diff,9_10_UPB_Diff,10_11_UPB_Diff,11_12_UPB_Diff,12_13_UPB_Diff,longest_unchanged_UPB,avg_repayment_ratio,pct_months_late,Principal_reduction_rate,Amortization_slope,UPB_rebound_count,UPB_autocorr,UPB_skew,UPB_kurtosis,LTV_mean,LTV_std,LTV_slope,LTV_rebound_count,Interest_rate_std,Interest_rate_slope,Early_repayment_ratio,CreditScore_LTV_Ratio,CreditScore_DTI_Ratio,LTV_DTI_Product,DebtServiceRatio,HighRiskCredit,HighLTV,HighDTI,HighInterestRate,CompositeRiskScore,LTV_MissFlag,OriginalLTV_delta,MSA_freq_enc,PropertyState_freq_enc,SellerName_freq_enc,ServicerName_freq_enc
0,0,747,0,0,1,P,26,82000,67,8.0,R,MH,P,360,1,0,9,2,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525853658536529,0.071553933148645,0.07208376442673,0.0726147028010143,0.0731590477452178,0.0737045469667037,0.0742512110590388,6,0.0038422822299651,0.4285714285714285,0.0098674390243903,-75.16325274725286,0,0.934127336806026,-0.2162698884595875,-1.9799010871927525,75.42857142857143,0.0,0.0,0,0.0,0.0,0.5600088984464706,11.149253731343284,28.73076923076923,0.1742,2.08,0,0,0,1,1,1,0,0.11218200891686336,0.008064516129032258,0.3126147390506163,0.24954104379753475
1,0,659,0,0,1,P,32,305000,68,7.875,R,SF,P,360,2,0,9,2,7,0,0,0.0,0.3278688524590163,0.0,0.0,0.0,0.0,0.2362697368421083,0.07292559057462,0.0734605626855399,0.0739966729399974,0.0745372361509553,0.0750822725311152,0.0756318025557638,4,0.0050875035128805,0.3571428571428571,0.010056655737705,-230.01358241758396,0,0.9459324188135192,0.0593654871688262,-1.0042968124361409,64.28571428571429,1.6225452416572208,-0.1010989010989011,3,0.0,0.0,0.5601901358858642,9.691176470588236,20.59375,0.2176,2.52,0,0,0,1,1,0,0,0.11218200891686336,0.03845397324940991,0.3126147390506163,0.24954104379753475
3,0,775,0,0,2,I,15,154000,70,7.625,R,SF,C,360,2,0,9,2,7,0,0,0.0,0.0,0.0,0.6493506493506493,0.0,0.0,0.0215555555555624,0.0989363589615568,0.0996625477176088,0.1003973578994639,0.101140835843604,0.101886465016824,0.1026342663627554,3,0.0062351113172541,0.3571428571428571,0.0126985714285713,-159.8047032967033,0,0.919997283478702,0.3775243814222278,-1.160682354757136,73.0,1.224744871391589,0.7999999999999999,2,0.0,0.0,0.5282218063183389,11.071428571428571,51.666666666666664,0.105,1.14375,0,0,0,1,1,0,0,0.00045895620246525046,0.04396144767899292,0.3126147390506163,0.24954104379753475
4,0,815,1,25,1,P,49,51000,88,7.25,R,SF,P,360,1,0,H,2,N,0,0,0.0,0.0,1.96078431372549,0.0,0.0,0.0,-0.6190599999999977,0.0860274385389782,0.0866187551289401,0.0,0.1749606900941877,0.0884215447780315,0.0890388219245492,4,0.0135959943977591,0.5,0.0187076470588234,-58.05098901098896,1,0.6967324205097554,1.2861083178395645,0.0517897586929563,80.0,5.1269595556932455,-0.9714285714285712,3,0.0,0.0,0.7236948296282361,9.261363636363637,16.632653061224488,0.4312,3.5525,0,1,1,1,3,0,0,0.11218200891686336,0.04330579596118542,0.3126147390506163,0.24954104379753475
6,0,772,0,0,1,P,41,155000,69,7.75,R,SF,C,360,1,0,9,2,7,0,0,0.0,0.0,0.0,0.6451612903225806,0.0,0.0,-0.0680324675324607,0.0747413594011353,0.0752778158575418,0.0,0.0758219388671322,0.0763737585931001,0.0769202881783599,3,0.0051798801843317,0.5,0.0095394193548386,-118.27709890109806,1,0.8633892666477845,0.7611116034909787,-1.100375860586336,65.35714285714286,2.495915029950878,-0.4637362637362637,4,0.0,0.0,0.6054537707712101,11.18840579710145,18.82926829268293,0.2829,3.1775,0,0,0,1,1,0,0,0.003114345659585628,0.039634146341463415,0.3126147390506163,0.11991869918699187
7,0,775,1,0,1,P,49,104000,80,7.625,R,SF,P,360,1,0,9,2,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5164423076923134,0.0760562481817035,0.0765977705879866,0.0771404913333372,0.0776941086068672,0.0782489682256509,0.0788050813268062,6,0.0037292513736263,0.4285714285714285,0.0097769230769231,-93.37509890109882,0,0.9399594047078038,-0.2541244083928039,-1.9118575584520785,72.0,4.840306956027833,-0.8395604395604398,4,0.0,0.0,0.5282258064516171,9.6875,15.816326530612244,0.392,3.73625,0,0,1,1,2,0,0,0.00016391292945187516,0.04396144767899292,0.3126147390506163,0.24954104379753475
8,0,770,0,30,1,P,25,143000,95,7.5,R,SF,P,360,2,0,9,2,N,0,0,0.7042253521126761,0.7092198581560284,0.0,0.0,0.0,0.0,0.512535714285706,0.162159697793954,0.1274876652735399,0.1284424584194756,0.1294151380239483,0.1303913769876584,0.1313784414013478,4,0.0240057042957042,0.2857142857142857,0.0270488732394366,-243.37397802197836,0,0.9446513190289042,0.7802376455234284,0.5096045901051287,93.71428571428572,2.343031352408104,0.0615384615384615,6,0.0,0.0,0.707522116981777,8.105263157894736,30.8,0.2375,1.875,0,1,0,1,2,0,0,0.0015079989509572515,0.04330579596118542,0.3126147390506163,0.24954104379753475
12,0,770,0,0,1,P,32,104000,31,6.75,R,SF,N,360,2,0,9,2,7,0,0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.1304854368931982,0.0900981474856585,0.0906853673127095,0.0912838484561468,0.0918741438280217,0.092475744874659,0.0930887010708198,5,0.010924059065934,0.3571428571428571,0.0163303846153846,-84.83861538461504,0,0.7406625778629298,1.4522787266333463,4.072958617714258,29.571428571428573,0.9035079029052514,-0.0703296703296703,3,0.0,0.0,0.667938481829526,24.838709677419356,24.0625,0.0992,2.16,0,0,0,0,0,0,0,0.11218200891686336,0.014293207448203515,0.3126147390506163,0.24954104379753475
14,0,812,0,0,1,P,23,246000,38,7.375,R,SF,N,360,2,0,9,2,7,0,0,0.4065040650406504,0.0,0.0,0.4081632653061224,0.0,0.0,0.1808688524590192,0.1226562732233524,0.1235591852896152,0.1244734870690452,0.1253951308627257,0.1263241704743848,0.1272606604713833,2,0.0094156155632984,0.2857142857142857,0.0173232113821138,-298.85687912087917,0,0.9590377347865144,0.1638073414356889,-0.8085562614295747,35.857142857142854,1.4568627181693676,-0.2373626373626373,2,0.0,0.0,0.5728767502598848,21.36842105263158,35.30434782608695,0.0874,1.69625,0,0,0,1,1,0,0,0.024783634933123525,0.04330579596118542,0.3126147390506163,0.24954104379753475
15,0,676,0,0,1,P,30,80000,70,7.5,R,SF,C,360,1,0,9,2,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666124999999921,0.0981794766638811,0.099006546146568,0.0802924318961093,0.0808617071738666,0.081432309455905,0.082004250621073,6,0.0046740624999999,0.4285714285714285,0.0118378749999999,-88.93619780219755,0,0.9349274424029456,-0.2015961411349066,-2.01580269944121,64.92857142857143,4.8027415640040685,-0.8769230769230767,4,0.0,0.0,0.563118380621516,9.657142857142857,22.533333333333335,0.21,2.25,0,0,0,1,1,0,0,0.11218200891686336,0.009801993181222135,0.3126147390506163,0.24954104379753475
